AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.Restaurant,2018-02-01T10:01:37.5371306Z,2018-02-01T10:35:27.544Z,202aff9d-8631-4c12-85b3-64666473f428,10.02,33.83,175.0,10
Dotyk.Application.Restaurant,2018-02-01T10:01:49.8724877Z,2018-02-01T10:09:05.724Z,74d2a8c0-5531-4fc0-8478-f9ce11825f09,10.02,7.26,129.0,10
Dotyk.Application.News,2018-02-01T10:09:20.307Z,2018-02-01T10:09:20.307Z,0d8b4f17-2400-4a36-82a9-fa5d1b68b420,10.15,0.0,129.0,10
Dotyk.Application.News,2018-02-01T10:38:24.2228784Z,2018-02-01T10:56:12.747Z,9fb52ee5-a988-4e88-a5e8-7f17737218c6,10.63,17.81,175.0,10
Dotyk.Application.Restaurant,2018-02-01T10:56:22.4844866Z,2018-02-01T10:56:39.78Z,89f9ec3a-40da-4346-880f-541b710bf023,10.93,0.29,175.0,10
Dotyk.Application.Memory,2018-02-01T10:56:49.1303397Z,2018-02-01T10:56:54.519Z,64eebb71-d27e-462c-89a1-72854dcc13c0,10.93,0.09,175.0,10
Dotyk.Application.Restaurant,2018-02-01T11:28:15.5483841Z,2018-02-01T13:40:11.402Z,fbdc5aee-b6ed-4eda-aac7-78cd9fc5e127,11.47,131.93,115.0,11
Dotyk.Application.Restaurant,2018-02-01T13:07:46.5198641Z,2018-02-01T13:08:17.33Z,4fced3e2-a635-4135-aade-9e3251c567e8,13.12,0.51,36.0,13
Dotyk.Application.AirHockey,2018-02-01T13:08:21.3375025Z,2018-02-01T14:33:02.617Z,55276e91-e09a-47a9-b1cf-bcdd8fcc96d0,13.13,84.69,36.0,13
Dotyk.Application.Restaurant,2018-02-01T13:19:32.4504737Z,2018-02-01T13:39:05.877Z,0279f430-cc28-4cde-9958-f4a5d8291007,13.32,19.56,38.0,13
Dotyk.Application.PhotoShare,2018-02-01T13:39:39.5837375Z,2018-02-01T13:41:04.703Z,43f02bee-f59e-4fd7-81cd-5bd370000bfc,13.65,1.42,38.0,13
Dotyk.Application.Restaurant,2018-02-01T13:40:57.7828101Z,2018-02-01T13:46:22.85Z,38c3e22b-f756-4cd8-8efc-838a9b6851e4,13.67,5.42,115.0,13
Dotyk.Application.Wallpapers,2018-02-01T13:41:16.0926457Z,2018-02-01T13:46:28.605Z,231121d4-e51f-4f7a-ab0a-f0c7f7811431,13.68,5.21,38.0,13
Dotyk.Application.PhotoShare,2018-02-01T13:46:48.8327909Z,2018-02-01T13:50:02.098Z,0e3ef626-8da8-49de-877b-9965e3049edf,13.77,3.22,115.0,13
Dotyk.Application.Wallpapers,2018-02-01T13:46:49.4519108Z,2018-02-01T13:47:48.804Z,f1af9b4f-0b35-4877-a6eb-866810a9b31f,13.77,0.99,38.0,13
Dotyk.Application.Wallpapers,2018-02-01T13:50:09.5757535Z,2018-02-01T14:42:13.592Z,37dca68e-6223-436f-921b-6b3f21539b93,13.83,52.07,115.0,13
Dotyk.Application.Restaurant,2018-02-01T13:52:06.1382447Z,2018-02-01T14:20:34.559Z,4eae1b95-ffe7-498b-84c4-1fbcfc69b707,13.87,28.47,38.0,13
Dotyk.Application.AirHockey,2018-02-01T14:33:09.1744342Z,2018-02-01T14:34:28.938Z,c14984c2-42f3-45bc-a335-d4c198a6b6db,14.55,1.33,129.0,14
Dotyk.Application.Paint,2018-02-01T14:33:34.2044597Z,2018-02-01T14:34:10.965Z,8bbd5775-08b0-4c8e-a821-2b984f677cc4,14.55,0.61,19.0,14
Dotyk.Application.News,2018-02-01T14:34:37.9298412Z,2018-02-01T15:45:04.328Z,403590d5-7ac7-4945-a964-c0adb7186a88,14.57,70.44,19.0,14
Dotyk.Application.Memory,2018-02-01T14:34:43.7666531Z,2018-02-01T14:35:07.619Z,c87b1a7a-928c-4b14-ad83-bac58fbb6703,14.57,0.4,38.0,14
Dotyk.Application.AirHockey,2018-02-01T14:35:23.7165186Z,2018-02-01T15:40:01.239Z,a3739070-bb6e-45c7-838c-a912d4e0fc47,14.58,64.63,129.0,14
Dotyk.Application.AirHockey,2018-02-01T14:35:37.0310484Z,2018-02-01T14:35:43.237Z,bfbb2aaa-2fb4-4356-ae5b-3b8fbfd617f1,14.58,0.1,38.0,14
Dotyk.Application.AirHockey,2018-02-01T14:36:00.647652Z,2018-02-01T14:36:03.823Z,ce6106ce-aed3-43b0-b388-daa67979a1f5,14.6,0.05,38.0,14
