AppId,StartTime,EndTime,Id,Time,Duration,Revenue
Dotyk.Application.AirHockey,2018-02-01T13:08:21.3375025Z,2018-02-01T14:33:02.617Z,55276e91-e09a-47a9-b1cf-bcdd8fcc96d0,13.13,84.69,36.0
Dotyk.Application.AirHockey,2018-02-01T14:33:09.1744342Z,2018-02-01T14:34:28.938Z,c14984c2-42f3-45bc-a335-d4c198a6b6db,14.55,1.33,129.0
Dotyk.Application.AirHockey,2018-02-01T14:35:23.7165186Z,2018-02-01T15:40:01.239Z,a3739070-bb6e-45c7-838c-a912d4e0fc47,14.58,64.63,129.0
Dotyk.Application.AirHockey,2018-02-01T14:35:37.0310484Z,2018-02-01T14:35:43.237Z,bfbb2aaa-2fb4-4356-ae5b-3b8fbfd617f1,14.58,0.1,38.0
Dotyk.Application.AirHockey,2018-02-01T14:36:00.647652Z,2018-02-01T14:36:03.823Z,ce6106ce-aed3-43b0-b388-daa67979a1f5,14.6,0.05,38.0
Dotyk.Application.AirHockey,2018-02-01T14:43:41.5689073Z,2018-02-01T15:30:04.3Z,2a2204b0-a922-4bde-94cb-20ce85715679,14.72,46.38,115.0
Dotyk.Application.AirHockey,2018-02-01T14:44:30.4940526Z,2018-02-01T15:22:07.728Z,100b8910-3ea5-4b33-ade1-16d89aac1dd4,14.73,37.62,38.0
Dotyk.Application.AirHockey,2018-02-01T14:44:51.1632975Z,2018-02-01T14:46:53.394Z,99751295-807e-41dc-8672-0f2a69597f0b,14.73,2.04,129.0
Dotyk.Application.AirHockey,2018-02-01T14:47:01.3014671Z,2018-02-01T15:21:43.15Z,7a94a75e-9c4f-4e02-b392-03d3d81d22e8,14.78,34.7,129.0
Dotyk.Application.AirHockey,2018-02-01T15:21:50.6833098Z,2018-02-01T15:22:00Z,c8a86078-0279-4468-a962-499fcca02c26,15.35,0.16,129.0
Dotyk.Application.AirHockey,2018-02-01T15:30:15.2202941Z,2018-02-01T15:30:45.698Z,e90ae21a-8b3a-42a7-9378-2e710e635a43,15.5,0.51,129.0
Dotyk.Application.AirHockey,2018-02-01T15:31:12.5314061Z,2018-02-01T15:42:15.994Z,92cae97c-864c-41e3-8fbc-f7629242289c,15.52,11.06,38.0
Dotyk.Application.AirHockey,2018-02-01T15:31:29.5387411Z,2018-02-01T15:41:38.677Z,61fba886-eef3-4489-be95-044f2c2f4209,15.52,10.15,115.0
Dotyk.Application.AirHockey,2018-02-01T15:40:08.6683307Z,2018-02-01T15:40:29.525Z,d3bbc3c2-8d9e-4684-8f6d-9ed13f79fee9,15.67,0.35,129.0
Dotyk.Application.AirHockey,2018-02-01T15:41:23.9285009Z,2018-02-01T15:45:00.063Z,9d991c55-ef7a-428a-aa98-8dfa61a9a2b8,15.68,3.6,175.0
Dotyk.Application.AirHockey,2018-02-01T15:41:27.856323Z,2018-02-01T15:44:38.297Z,337bf5a4-411f-48ee-b53d-31cddaa91ba2,15.68,3.17,36.0
Dotyk.Application.AirHockey,2018-02-01T15:42:30.5884483Z,2018-02-01T15:47:04.277Z,edbea818-1933-4429-b4eb-984ba219055c,15.7,4.56,129.0
Dotyk.Application.AirHockey,2018-02-01T15:48:08.3647873Z,2018-02-01T15:53:47.538Z,5baba0b0-3e02-434e-81be-b97b6eff7b18,15.8,5.65,129.0
Dotyk.Application.AirHockey,2018-02-01T15:48:10.0063181Z,2018-02-01T16:06:34.101Z,4d0b37cc-e1b4-4c3b-bf28-430ab7de5a06,15.8,18.4,115.0
